ID,SKU,Nombre,Precio,Stock
1,53E61C0A0722,"Buzo con capucha 626",127244,
2,38FAAC33DE66,"Toallas premium 877",63589,
3,E4B634844CB1,"Estante flotante 991",46987,
4,15E10BB9F2C7,"Proteína whey 730",137322,
5,7548DF6F8A59,"Short deportivo 350",131732,
6,8D168D5FD4C5,"Gorra de béisbol 263",55831,
7,11BE59150770,"Bufanda de lana 996",57296,
8,02FF8E13744E,"Microondas digital 392",118507,
9,8CB214DBF6C1,"Aire acondicionado 618",120991,
10,0719CF427179,"Cinturón de cuero 727",125679,
11,B0E62D779E17,"Gorra de béisbol 930",72095,
12,D42AC37973AF,"Celular Android 565",94313,
13,94AC90B663B7,"Plancha de vapor 945",50698,
14,AFEC2C9C4C42,"Short deportivo 685",81211,
15,EAA1E16529B5,"Heladera No Frost 364",44153,
16,49ED4E8B5FD7,"Smartwatch 970",33714,
17,BF5ABC302DDC,"Power Bank 20000mAh 688",114328,
18,37C2FCC470BF,"Colchón memory foam 166",105407,
19,5213A1933B45,"Shampoo natural 557",142481,
20,8CF406A28094,"Celular Android 809",124873,
21,94C7A1B6DF59,"Campera de abrigo 933",40098,
22,266CCA6F0020,"Zapatillas urbanas 533",10505,
23,B7E322D4703C,"Silla gamer 859",82729,
24,3308FD83DAEC,"Mochila urbana 545",132808,
25,B7EBA4848EC8,"Smart TV 55"" 195",43394,
26,9FC70BEB946D,"Bicicleta estática 536",84068,
27,5A578BBB02A5,"Zapatillas urbanas 641",31421,
28,437361870E95,"Laptop 15"" 515",25698,
29,26898BD16AD1,"Estante flotante 755",147268,
30,E571A1659375,"Short deportivo 884",70841,
31,6BCDDE53AB56,"Celular Android 102",37765,
32,45026AC92CD1,"Kit de maquillaje 561",121170,
33,60A9A9FABA05,"Mancuernas ajustables 571",70860,
34,D23DBEB14E86,"Mouse inalámbrico 299",83556,
35,2ECB10884F5F,"Campera de abrigo 278",21123,
36,DD33FD1464BD,"Bicicleta estática 436",36826,
37,74104AEFA981,"Plancha de vapor 355",128619,
38,38AADF109ABA,"Power Bank 20000mAh 707",123129,
39,13652C1AA023,"Bufanda de lana 467",17399,
40,030C62B6BD7F,"Power Bank 20000mAh 826",13701,
41,3854DD658999,"Parlante portátil 332",26483,
42,5BA94BA0B39D,"Monitor Full HD 972",40416,
43,5872E0B5874F,"Auriculares Bluetooth 443",145476,
44,F0BF21C18357,"Auriculares Bluetooth 465",29253,
45,752F0A7A9E77,"Aire acondicionado 316",36866,
46,2464B269ADE5,"Lámpara LED 133",98968,
47,D649F489FC91,"Smartwatch 682",76395,
48,16EE08C8E46F,"Cámara digital 451",8837,
49,92F2FA392C5B,"Almohada viscoelástica 398",120283,
50,3C9516170CA9,"Mancuernas ajustables 277",31940,
51,B7C521A14DB2,"Mochila urbana 886",24013,
52,28D808386406,"Shampoo natural 956",72901,
53,85365256A94A,"Proteína whey 642",59211,
54,D10670169D6F,"Heladera No Frost 109",36059,
55,9C2B2E1A3AC5,"Short deportivo 660",35670,
56,501E8038D0A8,"Auriculares Bluetooth 689",141142,
57,EC054B8A46CC,"Remera básica 727",8771,
58,C30E92DBBC72,"Celular Android 698",39208,
59,680CF2443A67,"Kit de maquillaje 604",66355,
60,45C07A717397,"Remera básica 705",88963,
61,EDC0E7B7C2EF,"Lámpara LED 246",46156,
62,39905097A32D,"Plancha de vapor 328",13885,
63,632B00E81A22,"Kit de maquillaje 764",148640,
64,922D163D9AA0,"Auriculares Bluetooth 533",107527,
65,7D36AE3C3E06,"Laptop 15"" 198",121687,
66,230919AD7042,"Laptop 15"" 627",32377,
67,D9A1DE356E30,"Guantes de invierno 446",72758,
68,CAF5B6ED68B6,"Aspiradora robot 764",7795,
69,B3B257FBC085,"Estante flotante 757",32308,
70,7C6BE8486D1B,"Escritorio plegable 628",30272,
71,41ED68FEE640,"Aire acondicionado 667",52668,
72,010D4150BF50,"Campera de abrigo 662",121797,
73,3D4B031E78E4,"Campera de abrigo 837",15536,
74,F3BC023E8D4F,"Almohada viscoelástica 347",11600,
75,64E4FB7B2DFC,"Mochila urbana 597",29335,
76,3E8D3D0E507E,"Bicicleta estática 143",88972,
77,22B1AB91D797,"Colchón memory foam 165",74198,
78,78118B440EE9,"Aire acondicionado 376",70788,
79,D977A9ACBB18,"Cafetera automática 373",10072,
80,4B4B988436B1,"Short deportivo 909",118993,
81,A941B01E15AF,"Colchón memory foam 158",47977,
82,D65C3FE874B7,"Blazer casual 658",60903,
83,D197F8AB91C6,"Blazer casual 427",101400,
84,FA095DED111D,"Juego de sábanas 780",116631,
85,56A7C4E45035,"Cinturón de cuero 745",62252,
86,B9D936AD8B14,"Colchón memory foam 571",1562,
87,105E66E6DFEA,"Mouse inalámbrico 355",145941,
88,03EF4F2C306D,"Smart TV 55"" 443",143165,
89,E740CE9FEA05,"Estante flotante 909",88888,
90,3E855C970220,"Aspiradora robot 861",89219,
91,524031DC2B76,"Cinturón de cuero 627",97614,
92,40D3CCB26F99,"Jean elastizado 600",24160,
93,379A8CD213C5,"Laptop 15"" 850",91920,
94,DAF68F38F0F1,"Escritorio plegable 712",125160,
95,8D9630639C5D,"Monitor Full HD 293",63531,
96,0B2F8359D3B0,"Creatina monohidrato 879",100813,
97,EC106309183E,"Lavarropas automático 312",141421,
98,2C561AF7352C,"Silla gamer 483",23777,
99,89DDF00A33A5,"Monitor Full HD 972",131676,
100,072BB2E86652,"Crema hidratante 254",56437,
101,047DCC0973FC,"Plancha de vapor 894",10939,
102,54F3B57367B4,"Estante flotante 500",61905,
103,70CA3D421A04,"Lavarropas automático 126",133643,
104,E100F5263729,"Monitor Full HD 521",116834,
105,9EE2E7C3CB79,"Mouse inalámbrico 939",59366,
106,05A73F5C2A70,"Cafetera automática 493",134040,
107,B31C235DDE88,"Buzo con capucha 987",77232,
108,843ECCC948BC,"Tablet 10"" 524",91652,
109,95EF0A48A8F2,"Shampoo natural 196",141143,
110,C9BB78FE612D,"Celular Android 168",91437,
111,51BA53BB1AA5,"Camisa Oxford 772",66278,
112,9DC46452BEAD,"Monitor Full HD 441",141366,
113,8A5D2A5C9313,"Campera de abrigo 882",65027,
114,6458CA11E385,"Kit de maquillaje 342",48928,
115,E6C1DFCA0588,"Teclado mecánico 276",78200,
116,29DC35E03542,"Mancuernas ajustables 345",72071,
117,02433E1B4E44,"Almohada viscoelástica 622",64433,
118,B251F18F0B01,"Laptop 15"" 634",88028,
119,B9627B006E39,"Zapatillas urbanas 270",45636,
120,80AA1B2E9900,"Zapatillas urbanas 284",53589,
121,9E6CD4B0C906,"Escritorio plegable 739",47203,
122,919F76E983AE,"Pantalón slim 220",132051,
123,4A2D6CE6BD6A,"Medias térmicas 363",13727,
124,E40B8EF1BA8C,"Tablet 10"" 770",75995,
125,8F471016FABC,"Camisa Oxford 817",58363,
126,1E6F1A48DC20,"Teclado mecánico 269",28359,
127,D0B538C0D02E,"Almohada viscoelástica 992",54313,
128,04D42AACF379,"Toallas premium 403",63735,
129,39A543621252,"Power Bank 20000mAh 249",107600,
130,E19DB79EA488,"Mochila urbana 498",6913,
131,99073B10B51E,"Tablet 10"" 345",7272,
132,E09F390371D8,"Camisa Oxford 669",33100,
133,AD6B3899FB06,"Zapatillas urbanas 510",42036,
134,CD8DA45F85B2,"Remera básica 143",4566,
